Awards,Category
Europa League winner,Continental Club Winner
European Under-17 champion,Under Continental Winner
European Under-19 champion,Under Continental Winner
European Under-19 runner-up,Under Continental Runner-up
European Under-21 champion,Under Continental Winner
European champion,Continental Nat Winner
FIFA Ballon d'Or,Top individuals 
FIFA Club World Cup participant,FIFA Club World Cup participant 
FIFA Club World Cup winner,FIFA Club World Cup winner 
Finnish champion,League T2 Club Winner
Football League Trophy Winner,League T2 Club Winner
Footballer of the Year,Major individuals 
French Super Cup winner,League T1 Club Winner
French champion,League T1 Club Winner
French cup runner-up,League T1 Runner-up
French cup winner,League T1 Club Winner
French league cup runner-up,League T1 Runner-up
French league cup winner,League T1 Club Winner
Fritz Walter Bronze medalist,Minor individuals 
Fritz Walter Golden medalist,Minor individuals 
Fritz Walter Silver medalist,Minor individuals 
Georgian cup winner,League T2 Club Winner
German Bundesliga runner-up,League T1 Runner-up
German Champion,League T1 Club Winner
German League Cup winner,League T1 Club Winner
German Super Cup runner-up,League T1 Runner-up
German Super Cup winner,League T1 Club Winner
German Under-17 Bundesliga West champion,Others 
German Under-17 Bundesliga champion,Others 
German Under-19 Bundesliga North/North-east champion,Others 
German Under-19 Bundesliga South/South-west champion,Others 
German Under-19 Bundesliga West champion,Others 
German Under-19 Bundesliga champion,Others 
German Under-19 cup winner,Others 
German cup runner-up,League T1 Runner-up
German cup winner,League T1 Club Winner
German second tier champion,League T2 Club Winner
German third tier champion,League T2 Club Winner
Goalkeeper of the Year,Major individuals 
Gold Cup runner-up,Continental Club Runner-up
Gold Cup winner,Continental Club Winner
Golden Boot winner,Major individuals 
Greek champion,League T2 Club Winner
Greek cup winner,League T2 Club Winner
Hamburg Cup winner,League T2 Club Winner
Hong Kong champion,League T2 Club Winner
Hong Kong cup winner,League T2 Club Winner
Indian Super League Winner,League T2 Club Winner
Intercontinental Cup runner-up,Continental Club Runner-up
Intercontinental Cup winner,Continental Club Winner
Israeli champion,League T2 Club Winner
Israeli cup winner,League T2 Club Winner
Italian Super Cup winner,League T1 Club Winner
Italian Supercoppa winner (Primavera),Others 
Italian Youth champion (Primavera),Minor individuals 
Italian Youth champion (U17),Minor individuals 
Italian champion,League T1 Club Winner
Italian cup winner,League T1 Club Winner
Italian cup winner (Serie C),League T2 Club Winner
Italienischer Drittligameister,Others 
Italienischer Zweitligameister,Others 
J. League Best XI,Minor individuals 
J. League's Youth Player of the Year,Minor individuals 
J.League Cup New Hero Award,Minor individuals 
Japanese Super Cup winner,League T2 Club Winner
Japanese champion,League T2 Club Winner
Japanese cup winner,League T2 Club Winner
Japanese league cup winner,League T2 Club Winner
Japanese second league Champion,League T2 Club Winner
Kazakh champion,League T2 Club Winner
League Player of the Year,Minor individuals 
Liechtenstein Cup Winner,League T2 Club Winner
Lower Rhine Cup winner,League T2 Club Winner
Lower Saxony Cup winner,League T2 Club Winner
MLS Cup Champion,League T2 Club Winner
Mexican Clausura champion,League T2 Club Winner
Mexican champion,League T2 Club Winner
Mexican cup winner,League T2 Club Winner
Midfielder of the Year,Major individuals 
Moroccan champion,League T2 Club Winner
Moroccan cup winner,League T2 Club Winner
NASL Regular Season Champion,League T2 Club Winner
NASL Soccer Bowl Champion,League T2 Club Winner
Norwegian champion,League T2 Club Winner
Norwegian cup winner,League T2 Club Winner
Olympic medalist,Olympic medalist 
Player of the Tournament,Minor individuals 
Player of the Year,Major individuals 
Polish Super Cup winner,League T2 Club Winner
Polish champion,League T2 Club Winner
Polish cup winner,League T2 Club Winner
Portuguese Super Cup winner,League T2 Club Winner
Portuguese champion,League T2 Club Winner
Portuguese cup winner,League T2 Club Winner
Portuguese league cup runner-up,League T2 Runner-up
Portuguese league cup winner,League T2 Club Winner
Promotion to 1st league,Promotion 
Promotion to 2nd league,Promotion 
Promotion to 3rd league,Promotion 
Promotion to J1,Promotion 
Promotion to Regionalliga,Promotion 
Recopa Sudamericana winner,Continental Club Winner
Relegated from 1st league,Others 
Relegated from 2nd league,Others 
Relegated from 3rd league,Others 
Romanian Super Cup winner,League T2 Club Winner
Romanian champion,League T2 Club Winner
Romanian cup winner,League T2 Club Winner
Russian Super Cup winner,League T2 Club Winner
Russian champion,League T2 Club Winner
Russian cup winner,League T2 Club Winner
Saudi Cup Winner,League T2 Club Winner
Saxony Cup winner,League T2 Club Winner
Saxony-Anhalt Cup winner,League T2 Club Winner
Schleswig-Holstein Cup winner,League T2 Club Winner
Scottish Challenge Cup winner,League T2 Club Winner
Scottish First Division champion,League T2 Club Winner
Scottish Second Division champion,League T2 Club Winner
Scottish champion,League T2 Club Winner
Scottish cup winner,League T2 Club Winner
Scottish league cup winner,League T2 Club Winner
Second highest goal scorer,Minor individuals 
Second place at the Olympic Games,Second place at the Olympic Games 
Serbian champion,League T2 Club Winner
Serbian cup winner,League T2 Club Winner
Slovak champion,League T2 Club Winner
Slovak cup winner,League T2 Club Winner
Slovenian champion,League T2 Club Winner
Slovenian cup winner,League T2 Club Winner
South African champion,League T2 Club Winner
South African cup winner,League T2 Club Winner
South American Footballer of the Year,Major individuals 
Spanish Super Cup winner,League T1 Club Winner
Spanish champion,League T1 Club Winner
Spanish cup winner,League T1 Club Winner
Striker of the Year,Major individuals 
Supercoppa Serie C winner,League T2 Club Winner
Supporters Shield Winner,Others 
Swedish Super Cup winner,League T2 Club Winner
Swedish champion,League T2 Club Winner
Swedish cup winner,League T2 Club Winner
Swiss champion,League T2 Club Winner
Swiss cup winner,League T2 Club Winner
Third place at the Olympic Games,Third place at the Olympic Games 
Thuringia Cup winner,Others 
Tirol league champion,League T2 Club Winner
Top scorer,Major individuals 
Tunisian cup winner,League T2 Club Winner
Turkish Super Cup winner,League T2 Club Winner
Turkish champion,League T2 Club Winner
Turkish cup winner,League T2 Club Winner
U21 Eredivisie champion,Others 
U21 Premier League champion,Others 
UAE Champion,League T2 Club Winner
UEFA Best Player in Europe ,Major individuals 
UEFA Youth League Winner,Minor individuals 
UI Cup winner,Others 
US Open Cup Winner,League T2 Club Winner
USL Cup Champion,League T2 Club Winner
USL Regular Season Champion,League T2 Club Winner
Uefa Cup winner,Continental Club Winner
Uefa Supercup winner,Continental Club Winner
Ukrainian Super Cup winner,League T2 Club Winner
Ukrainian champion,League T2 Club Winner
Ukrainian cup runner-up,League T2 Runner-up
Ukrainian cup winner,League T2 Club Winner
Under 16 European Champion,Under Continental Winner
Under-17 World Cup champion,Under Continental Winner
Under-17 World Cup participant,Under Continental Winner
Under-19 Arla Talent,Others 
Under-20 South American Championship winner,Under Continental Winner
Under-20 World Cup champion,Under Continental Winner
Under-20 World Cup participant,Under Continental Winner
Uruguayan champion,League T2 Club Winner
Uzbek Champion,League T2 Club Winner
Viareggio,Others 
Westphalia Cup winner,Others 
World Cup Under-20 runner-up,Under Continental Runner-up
World Cup participant,World Cup participant 
World Cup runner-up,World Cup runner-up 
World Cup third place,World Cup third place 
World Cup winner,World Cup winner 
World's Best Goalkeeper,Top individuals 
Wurttemberg Cup winner,Others 
Young player of the year,Minor individuals 
